league_id,season_name,league_name
1,21/22,Ligue 1
2,20/21,Ligue 1
3,19/20,Ligue 1
4,18/19,Ligue 1
5,17/18,Ligue 1
6,22/23,Premier League
7,22/23,EFL Cup
8,21/22,Championship
9,21/22,FA Cup
10,21/22,EFL Cup
11,20/21,Championship
12,19/20,Championship
13,19/20,FA Cup
14,19/20,EFL Cup
15,18/19,FA Cup
16,17/18,FA Cup
17,22/23,Champions League
18,21/22,Premier League
19,21/22,Champions League
20,21/22,Club World Cup
21,20/21,Champions League
22,20/21,Premier League
23,20/21,FA Cup
24,20/21,EFL Cup
25,19/20,Champions League
26,18/19,Champions League
27,17/18,Champions League
28,16/17,Ligue 1
29,16/17,Champions League
30,15/16,Ligue 1
31,15/16,Champions League
32,14/15,Ligue 1
33,14/15,Champions League
34,13/14,Ligue 1
35,13/14,Champions League
36,12/13,Ligue 1
37,12/13,Champions League
38,11/12,Champions League
39,10/11,Champions League
40,09/10,Champions League
44,22/23,Europa League
45,20/21,Europa League
46,18/19,Europa League
47,17/18,Europa League
48,22/23,Bundesliga
49,21/22,Bundesliga
50,20/21,Bundesliga
51,20/21,Club World Cup
52,15/16,Europa League
53,21/22,Conference League
54,21/22,Europa League
55,19/20,Premier League
56,19/20,Bundesliga
57,18/19,Bundesliga
58,22/23,LaLiga
59,21/22,LaLiga
60,20/21,LaLiga
61,19/20,LaLiga
62,18/19,LaLiga
63,16/17,LaLiga
64,16/17,Club World Cup
65,22/23,Ligue 1
68,16/17,Europa League
69,16/17,Premier League
70,16/17,EFL Cup
71,15/16,Premier League
72,15/16,FA Cup
73,14/15,Eredivisie
74,14/15,Europa League
75,13/14,Eredivisie
76,13/14,Europa League
77,12/13,Eredivisie
78,12/13,Europa League
79,11/12,Eredivisie
80,11/12,Europa League
81,19/20,Club World Cup
82,18/19,Premier League
83,17/18,Bundesliga
84,17/18,Premier League
85,16/17,FA Cup
86,16/17,Bundesliga
87,19/20,Europa League
88,15/16,Bundesliga
89,14/15,Bundesliga
90,13/14,Bundesliga
91,12/13,Bundesliga
98,13/14,Premier League
99,13/14,FA Cup
100,12/13,Premier League
101,18/19,Eredivisie
102,18/19,EFL Cup
103,17/18,EFL Cup
104,11/12,Ligue 1
105,10/11,Ligue 1
106,09/10,Ligue 1
107,09/10,Europa League
108,13/14,Club World Cup
109,11/12,Bundesliga
110,10/11,Bundesliga
111,09/10,Bundesliga
112,08/09,Bundesliga
113,08/09,Champions League
124,15/16,Club World Cup
132,07/08,Bundesliga
133,15/16,Championship
134,14/15,Championship
135,14/15,FA Cup
136,12/13,FA Cup
137,11/12,FA Cup
152,13/14,Championship
161,10/11,Championship
163,17/18,Championship
164,16/17,Championship
165,14/15,Premier League
166,12/13,Championship
167,11/12,Championship
168,10/11,FA Cup
169,10/11,Premier League
170,09/10,Championship
171,09/10,FA Cup
172,08/09,Premier League
173,18/19,Championship
174,08/09,FA Cup
191,09/10,Premier League
192,11/12,Premier League
193,13/14,LaLiga
194,12/13,LaLiga
195,11/12,LaLiga
196,10/11,Europa League
197,08/09,Championship
198,07/08,Championship
206,10/11,Eredivisie
214,15/16,LaLiga
217,09/10,LaLiga
218,09/10,Club World Cup
219,07/08,Champions League
220,06/07,Champions League
221,05/06,Champions League
222,04/05,Champions League
223,04/05,Eredivisie
224,03/04,Eredivisie
225,03/04,Champions League
226,02/03,Eredivisie
227,02/03,Champions League
228,12/13,Club World Cup
229,08/09,Ligue 1
230,07/08,Ligue 1
231,08/09,LaLiga
232,07/08,LaLiga
233,06/07,LaLiga
234,07/08,Premier League
235,07/08,FA Cup
236,06/07,Premier League
237,06/07,FA Cup
238,05/06,Championship
239,04/05,Championship
249,16/17,Eredivisie
250,17/18,LaLiga
251,14/15,LaLiga
252,05/06,Premier League
253,05/06,FA Cup
254,04/05,Premier League
255,04/05,FA Cup
256,03/04,Premier League
257,03/04,FA Cup
258,02/03,Premier League
259,02/03,FA Cup
266,09/10,Eredivisie
282,21/22,Eredivisie
283,15/16,Serie B
284,19/20,Serie B
285,11/12,Serie B
286,18/19,Club World Cup
287,17/18,Club World Cup
288,14/15,Club World Cup
289,10/11,LaLiga
290,06/07,Ligue 1
291,05/06,Ligue 1
292,04/05,Ligue 1
301,11/12,Club World Cup
315,25/26,Premier League
316,25/26,Champions League
