club_id,club_name,country_abbr,stadium_id,coach_id
1,AS Monaco,FRA,1.0,1.0
2,AC Milan,ITA,2.0,2.0
3,Arsenal FC,ENG,3.0,3.0
4,Aston Villa,ENG,4.0,4.0
5,Bayern Munich,GER,5.0,5.0
6,Manchester City,ENG,6.0,6.0
7,Manchester United,ENG,7.0,7.0
8,Liverpool FC,ENG,8.0,8.0
9,Chelsea FC,ENG,9.0,9.0
10,Everton FC,ENG,10.0,10.0
11,Newcastle United,ENG,11.0,11.0
12,Nottingham Forest,ENG,12.0,12.0
13,Real Madrid,ESP,13.0,13.0
14,Tottenham Hotspur,ENG,14.0,14.0
15,FC Barcelona,ESP,15.0,15.0
16,AS Roma,ITA,,
17,Ajax,NLD,,
18,Atlético Madrid,ESP,,
19,Bayer Leverkusen,GER,,
20,Benfica,PRT,,
21,Borussia Dortmund,GER,,
22,Borussia Mönchengladbach,GER,,
23,Brighton & Hove Albion,ENG,,
24,Burnley,ENG,,
25,Celtic,SCO,,
26,Crystal Palace,ENG,,
27,Deportivo La Coruña,ESP,,
28,Eintracht Frankfurt,GER,,
29,FC Porto,PRT,,
30,Feyenoord,NLD,,
31,Fulham,ENG,,
32,Huddersfield Town,ENG,,
33,Hull City,ENG,,
34,Inter Milan,ITA,,
35,Ipswich Town,ENG,,
36,Juventus,ITA,,
37,Leeds United,ENG,,
38,Leicester City,ENG,,
39,Middlesbrough,ENG,,
40,Norwich City,ENG,,
41,PSV Eindhoven,NLD,,
42,Paris Saint-Germain,FRA,,
43,RB Leipzig,GER,,
44,Rangers,SCO,,
45,Real Betis,ESP,,
46,Real Sociedad,ESP,,
47,Red Bull Salzburg,AUT,,
48,Sevilla,ESP,,
49,Southampton,ENG,,
50,Sporting CP,PRT,,
51,Stoke City,ENG,,
52,Sunderland,ENG,,
53,Swansea City,WAL,,
54,Valencia CF,ESP,,
55,Watford,ENG,,
56,West Ham United,ENG,,
57,Wolverhampton Wanderers,ENG,,
