country_abbr,country_name
ALB,Albania
ALG,Algeria
ARG,Argentina
AUT,Austria
AUS,Australia
BEL,Belgium
BRA,Brazil
CMR,Cameroon
CAN,Canada
CHI,Chile
COL,Colombia
CRO,Croatia
DEN,Denmark
EGY,Egypt
ENG,England
FRA,France
GAB,Gabon
GER,Germany
GHA,Ghana
GRE,Greece
GUI,Guinea
IRL,Ireland
ITA,Italy
JAM,Jamaica
JPN,Japan
MLI,Mali
NLD,Netherlands
NGA,Nigeria
NOR,Norway
PAR,Paraguay
POL,Poland
PRT,Portugal
ROU,Romania
RUS,Russia
SCO,Scotland
SEN,Senegal
SRB,Serbia
SVK,Slovakia
ESP,Spain
SWE,Sweden
SUI,Switzerland
UKR,Ukraine
URU,Uruguay
WAL,Wales
ZIM,Zimbabwe
